"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
641.326831993544,1.06875511947967,0.129444146950777,8.25649629323195,1.5001088523222e-16,4.65004330320818e-14
98.375183625756,2.73402774158958,0.332145722851417,8.23141035241521,1.850219647943e-16,5.62502354121747e-14
129.592877232085,-2.49791033323684,0.3051196786639,-8.18665759014636,2.68580907503808e-16,7.86295475319943e-14
872.50168843958,1.00228587574635,0.122543371458186,8.17902970858237,2.86138562042337e-16,8.22466277695874e-14
1348.36788145091,1.06052600855527,0.132052588492463,8.03108837670231,9.66117251981818e-16,2.58870298925094e-13
168.105849772074,1.53187024142846,0.192096520903067,7.97448196472778,1.53021287780333e-15,3.96575989921193e-13
143.368327707467,1.83437908298672,0.230320538602835,7.96446158954986,1.6594471593225e-15,4.23132260350473e-13
477.543055008661,1.48431167858001,0.190082337933487,7.80878273445582,5.77429391729999e-15,1.3831183717969e-12
556.099673360381,1.33151465032376,0.172977147218985,7.69763331012791,1.38609452894691e-14,3.08630540959461e-12
981.383801584676,1.01067325296804,0.132290155011136,7.63982212344497,2.1752204122007e-14,4.46598175278973e-12
446.007388833484,-1.2162240566002,0.159366966401044,-7.6315944518866,2.31867866935595e-14,4.58199888548103e-12
1535.36769195216,1.05256935904763,0.13899788125163,7.57255685892182,3.65948957142309e-14,7.05522812617411e-12
103.189973075874,2.21647833852705,0.296970140289199,7.46364040630003,8.41641002600251e-14,1.56535324824793e-11
3281.92604880506,-1.10349530178931,0.148184373305903,-7.44677240366853,9.56514218924276e-14,1.75831782406673e-11
583.495403812472,-1.02811845757335,0.140398983981568,-7.32283402925714,2.42788011469991e-13,4.26470630369899e-11
396.239705421679,1.27715864783729,0.183244137369059,6.96971082499109,3.17593109511102e-12,4.73663157383115e-10
144.681155955367,1.43144969091449,0.2063567872399,6.93677058099551,4.01164500988619e-12,5.66250856797239e-10
52.0425588507295,2.9758639516716,0.428791397859642,6.94012045606778,3.91765751391805e-12,5.66250856797239e-10
909.722305218719,1.10865778474812,0.163123565019428,6.79642934861118,1.07243860477245e-11,1.41284849190397e-09
501.590426950156,-1.06506120573076,0.157025946294226,-6.78270840498621,1.17943541670402e-11,1.53020945513671e-09
243.347948418571,1.01841915178346,0.152922340783619,6.65971464054748,2.74359753193766e-11,3.44234391923829e-09
57.8054760400533,2.1750601822303,0.331208547134252,6.56704122236514,5.13248421465805e-11,6.14692749617644e-09
77.679018667918,2.58978759539076,0.394579727685989,6.56340763013487,5.25918188527916e-11,6.25130875371265e-09
109.050345244418,1.54345449960755,0.236099135803724,6.53731532880609,6.26329070086969e-11,7.33454538444807e-09
1087.91749766272,1.03531019376433,0.161130072304925,6.42530707616822,1.31603577032845e-10,1.45490975476381e-08
215.614333054908,1.24171540503789,0.193649969192963,6.41216422709873,1.43468162210577e-10,1.5750612336021e-08
98.8742609846238,1.49380862828494,0.235963573187379,6.33067472282558,2.44091436869222e-10,2.58982652715807e-08
116.321953680697,1.46564068865809,0.233205583268442,6.28475814393774,3.28364485113223e-10,3.4378239371887e-08
143.804085471518,1.29999938685217,0.207061200360185,6.27833406061012,3.4222000697047e-10,3.5432013672916e-08
53.8233070067627,2.3085057880869,0.374743876125904,6.16022284860847,7.26426457218427e-10,7.04544531421233e-08
215.326244574742,-1.27867246471376,0.21055393527988,-6.07289748830426,1.25622654513484e-09,1.16138511415419e-07
115.020237413918,1.42383975922553,0.235131660735872,6.05549994743137,1.39982220418639e-09,1.25027057773913e-07
316.315192832581,1.01282595975878,0.16783621363461,6.03460920516097,1.59347839940125e-09,1.40733519643209e-07
118.773492809913,1.49054160226974,0.250979653671246,5.93889417116724,2.86951016325885e-09,2.45211276599779e-07
154.270678389826,1.38201493970427,0.237945444047205,5.80811683635389,6.3179423387234e-09,5.04446214307466e-07
74.0943823727972,1.59750327691729,0.284089554654453,5.62323834419181,1.87410542011068e-08,1.40415794248956e-06
174.698115915661,1.19778112837204,0.214932775153289,5.57281748917908,2.50652125117419e-08,1.77693248698712e-06
126.314437273012,1.1726873952723,0.211120195736471,5.55459600244069,2.78254553988275e-08,1.96380635892886e-06
39.8702151145724,-2.35415402455517,0.424089011178737,-5.55108470745776,2.83902469443793e-08,1.99476183974975e-06
117.67005253686,1.40228188287027,0.255231913181318,5.49414791195832,3.92601343644904e-08,2.67527355244926e-06
160.358036270608,1.02751587321177,0.188953369417693,5.4379335831815,5.3902058715792e-08,3.59551749467492e-06
253.548556141274,-1.07780865059421,0.198416650728219,-5.43204739440207,5.57111204287624e-08,3.66168036212581e-06
135.258779033671,1.19242881001454,0.22214163168278,5.36787634529189,7.96691426395294e-08,5.02710720833582e-06
147.210318266967,1.05924786179234,0.199855205255821,5.30007642501214,1.15754216534813e-07,6.80281936505152e-06
27.8305084866251,2.74714919518825,0.520358308899881,5.27934146184031,1.2964899964038e-07,7.3727375371035e-06
125.075435959752,1.335144590803,0.255452098834795,5.22659471929591,1.72660386897934e-07,9.38002768546197e-06
57.0231294612148,1.60569911828146,0.309602171863997,5.18633027867393,2.14478302326357e-07,1.13400919112956e-05
96.3368462952696,1.24025276129822,0.239403527323867,5.18059518655462,2.21179025920044e-07,1.16166751520597e-05
194.762888718799,1.11650312622915,0.216008687768453,5.16878806016342,2.35616908900946e-07,1.22528543184706e-05
1208.62665601022,1.52061932881373,0.30388776631068,5.00388464884473,5.61863859812768e-07,2.71636261766974e-05
137.393471584984,1.07356575107709,0.217969491376916,4.92530282240585,8.42298086502265e-07,3.92799128304257e-05
76.8267199910184,1.41877035357077,0.28870042739905,4.91433409487029,8.9084725011369e-07,4.13003055045376e-05
71.6811351995869,1.69480112289309,0.346014148469766,4.89806885177465,9.67831246548892e-07,4.44780353973588e-05
137.75447448262,1.35541993510394,0.28241019645967,4.79947237067095,1.59084179681617e-06,6.87148031854286e-05
79.1926410421517,1.48275409998933,0.31413664099084,4.72009280837942,2.35737061445845e-06,9.75593509004545e-05
21141.9434592576,1.78246675833516,0.389518679453467,4.57607517266217,4.7378036181432e-06,0.000176650795752891
80.843674304147,1.21045442824222,0.264981609588212,4.56806957329339,4.92236658368357e-06,0.000182670641599656
105.943843090084,1.40658823784977,0.311216821724332,4.51964077666627,6.19446465943922e-06,0.000221861660245025
46.6450489714573,1.61291492685599,0.360341675528597,4.47607100813403,7.60292072811624e-06,0.000264163898441296
16516.4156986699,1.17125420047095,0.262533600141404,4.46134970853289,8.1445055802788e-06,0.000278091768290772
165.002246677885,1.01408568143855,0.227945097226574,4.44881549889427,8.634514578631e-06,0.000292297732277468
31.5579432044016,1.81556723375153,0.413813707834876,4.3874023488753,1.14712468221963e-05,0.000375696480611344
39.6253054065551,-1.61876382059999,0.371063434634461,-4.36249888700203,1.28585240499201e-05,0.000411498798998353
84.7973565647188,1.11318419613679,0.255276527482945,4.36069938396964,1.29647383403757e-05,0.000413752667257047
27.8897451182307,2.1292034785036,0.490101956339474,4.34440926211848,1.39650950698507e-05,0.000439789219042371
75.3093068584141,-1.11613878030582,0.257662463133134,-4.33178650368299,1.47904324843297e-05,0.000463932434811049
76.7074640996337,-1.15172873732747,0.26634498075799,-4.32419914221689,1.53086964492086e-05,0.000475471870659212
132.540946175285,1.29516260942879,0.305977302177231,4.23287152417139,2.30726322421166e-05,0.000671740779218455
74.5454469657391,1.18810613816035,0.285757434382101,4.15774357972318,3.21406497343656e-05,0.000894562555722862
29.9312184936798,1.6744656498083,0.410972859359059,4.07439472382616,4.61341765341931e-05,0.00120750860402162
76.4969030258856,1.06975984753793,0.26315954461812,4.06506193453974,4.80197085131668e-05,0.00124654116894032
52.4860315161677,-1.31610729777773,0.326903960964606,-4.02597537788851,5.67396262932777e-05,0.00143391776859334
58.5360127456047,1.32314187582014,0.328936936934508,4.02247886221298,5.75888239240131e-05,0.001449716110533
